RAg Ram Ras  Decg Decm Decs   GIN  Name    m    Type    Dn     e      Re         <SBe>   BTot         SBe     B-R     AR      KR      KB     D/B    ReB         mueB    h          mu0 
01 08 37.9  +02 16 06   37  A147      B  E/S0  28.19  99.99   7.83        19.53  13.26        20.97  99.999   0.008   0.044   0.219   0.40   4.78       20.22  10.92       21.61
01 08 12.0  +02 11 38   38  A147      C  E/S0  21.76   0.62  22.28        21.58  13.03        23.03   1.586   0.008   0.044   0.219   0.04  23.99       23.18   2.21       20.08
01 08 14.7  +02 10 36   39  A147      D  E/S0  14.98   0.24   7.18        20.44  14.34        21.70   1.446   0.008   0.045   0.224   0.28   6.03       21.72   6.16       21.76
01 08 43.4  +02 11 31   40  A147      E  SB0   13.77   0.28   3.53        19.39  14.84        20.78   1.528   0.008   0.043   0.218  99.99  99.99       99.99  99.99       99.99
01 08 35.0  +02 09 45   41  A147      F  S      8.72  99.99   5.32        20.71  15.28        21.52  99.999   0.008   0.013   0.155   8.46   1.39       21.63   3.43       19.88
01 12 27.4  +15 45 00   43  A160      A  E/S0  24.61   0.56   6.12        19.40  13.66        20.67   1.502   0.053   0.038   0.190   0.86   2.97       19.90   6.01       20.20
01 12 27.4  +15 45 00   44  A160      B  E/S0  13.02   0.35   6.34        20.46  14.71        21.74   1.569   0.053   0.061   0.304   0.43   4.50       21.49   6.14       21.70
01 10 28.9  +16 11 25   45  A160      C  E/S0  21.11   0.54   5.08        19.30  13.95        20.74   1.647   0.077   0.041   0.207   0.60   2.54       19.70   6.56       20.92
01 12 18.7  +16 19 33   46  A160      D  E/S0  17.57   1.43   3.73        19.10  14.51        20.47   1.568   0.080   0.061   0.305   0.51   2.19       19.79   4.32       20.59
01 13 15.8  +15 30 58   47  A160      E  E/S0  24.65   0.44   8.36        19.88  13.46        21.25   1.507   0.058   0.047   0.235   0.37   5.64       20.76   9.97       21.69
01 13 03.0  +15 31 38   48  A160      F  E/S0  19.20  99.99   8.69        20.34  13.83        21.72  99.999   0.058   0.046   0.228   0.11  10.13       22.19   2.43       20.06
01 12 59.5  +15 29 28   49  A160      G  cD    22.32   0.57  17.27        21.10  13.10        22.27  99.999   0.058   0.044   0.219   0.59  12.71       22.33  13.81       21.69
01 13 47.7  +15 30 28   50  A160      H  E/S0  14.86   0.70   4.58        19.75  14.63        21.08   1.472   0.056   0.045   0.227   1.18   1.50       19.57   4.71       20.48
01 11 24.8  +15 34 23   51  A160      I  E     18.52   0.19   4.09        19.13  14.33        20.51   1.628   0.051   0.062   0.311  99.99  99.99       99.99  99.99       99.99
01 14 14.6  +15 53 52   52  A160      J  E/S0  23.80   0.16   6.64        19.56  13.63        20.84   1.391   0.061   0.038   0.188   0.15   7.24       21.29   2.92       20.00
01 11 50.2  +15 21 01   53  A160      1  E/S0  10.30   0.23   3.67        19.95  15.39        21.43  99.999   0.051   0.060   0.302   0.53   1.90       20.37   5.20       21.86
01 10 38.0  +16 14 43   54  A160      2  E     15.98  99.99   7.19        20.33  14.31        21.73  99.999   0.063   0.061   0.304  99.99  99.99       99.99  99.99       99.99
01 13 00.1  -00 15 09   56  A168      A  E/S0  47.11   0.64   7.28        18.53  12.30        19.88   1.529   0.015   0.018   0.088   0.42   4.77       19.39   8.21       20.10
01 12 48.7  -00 17 26   57  A168      B  E/S0  39.16  99.99   8.85        19.14  12.48        20.75  99.999   0.015   0.018   0.088   0.66   3.54       19.10  14.30       21.18
01 14 21.6  +00 10 47   58  A168      C  E     18.74   0.15   5.48        19.62  14.12        21.01   1.542   0.025   0.044   0.222  99.99  99.99       99.99  99.99       99.99
01 14 57.5  +00 25 51   59  A168      D  E/S0  27.09   0.06  14.76        20.63  12.98        21.97   1.597   0.022   0.045   0.226   0.28  11.28       21.71  16.00       22.44
01 14 54.2  +00 18 12   60  A168      E  E/S0  17.71   0.37   5.54        19.74  14.21        21.10   1.632   0.027   0.045   0.223   0.07   5.97       21.37   1.83       20.31
01 15 15.8  +00 12 48   61  A168      F  E/S0  17.99  99.99   4.51        19.40  14.32        20.69  99.999   0.034   0.045   0.227   0.33   3.48       20.53   4.34       20.83
01 16 12.8  -00 06 29   62  A168      G  E     16.85   0.02   4.38        19.42  14.40        20.81   1.558   0.029   0.045   0.224  99.99  99.99       99.99  99.99       99.99
01 15 16.7  +00 11 09   63  A168      1  E/S0  16.32  99.99   4.22        19.41  14.48        20.76  99.999   0.034   0.045   0.225   0.06   4.45       20.98   1.57       20.38
01 14 46.2  -00 00 04   64  A168      2  SB    17.06   0.25   7.08        20.24  14.17        21.38  99.999   0.022   0.014   0.175   1.50   2.72       20.55   6.01       20.44
01 25 31.5  +01 45 32   65  A189      A  cD    69.20  99.99  45.94        20.93  10.70        22.23  99.999   0.034   0.019   0.093   0.65  25.50       21.58  47.98       22.04
01 24 47.8  +01 36 28   66  A189      B  S     28.49  99.99   5.71        19.03  13.33        20.38  99.999   0.013   0.005   0.063   1.10   1.95       18.89   6.07       19.87
01 25 13.1  +02 04 00   67  A189      C  SB    25.24   0.15   7.41        19.72  13.45        20.78  99.999   0.041   0.006   0.071   0.78   6.20       21.35   5.00       19.76
01 24 36.5  +02 02 38   68  A189      D  E/S0  30.11  99.99   5.91        18.93  13.21        20.38  99.999   0.046   0.032   0.160   0.43   3.46       19.55   8.41       21.00
01 20 58.6  -13 51 00   69  J30       A  cD    23.64   0.68  14.92        20.86  13.21        22.23  99.999   0.008   0.051   0.257   0.44   9.40       21.65  17.56       22.50
01 20 55.6  -13 50 06   70  J30       B  S     13.70  99.99   5.77        20.23  14.65        21.62   1.566   0.008   0.016   0.193  99.99  99.99       99.99  99.99       99.99
01 20 36.3  -13 51 50   71  J30       C  E/S0  11.93   0.64   3.44        19.61  15.15        21.02  99.999   0.008   0.049   0.245   0.51   1.94       20.21   4.34       21.30
01 20 34.3  -13 51 50   72  J30       D  E     16.00   0.49   4.65        19.61  14.50        21.00  99.999   0.008   0.055   0.274  99.99  99.99       99.99  99.99       99.99
01 20 20.7  -13 53 23   73  J30       E  E/S0  15.38   0.21   4.87        19.78  14.57        21.08   1.450   0.020   0.051   0.254   0.13   4.68       21.22   3.45       21.36
01 20 20.6  -13 58 26   74  J30       F  E     13.57   0.29   4.93        19.99  14.82        21.38  99.999   0.020   0.070   0.350  99.99  99.99       99.99  99.99       99.99
01 19 16.9  -13 54 08   75  J30       G  S     11.51   0.16   3.30        19.65  15.24        20.78  99.999   0.010   0.013   0.159   0.51   2.94       21.26   2.22       19.97
01 20 05.0  -13 47 47   76  J30       1  E     12.56   0.16   4.09        19.81  14.97        21.19  99.999   0.008   0.052   0.263  99.99  99.99       99.99  99.99       99.99
01 19 32.2  -13 43 34   77  J30       2  S      4.61   0.13   5.36        21.29  15.86        22.08  99.999   0.037   0.018   0.214   9.48   1.66       22.69   3.40       20.40
01 25 07.7  +08 41 58   78  A193      A  tcD   31.64  99.99  15.23        20.44  12.73        21.97  99.999   0.080   0.049   0.246   1.39   2.81       19.11  17.59       21.34
01 25 11.9  +08 39 21   79  A193      B  E     15.03   0.11   3.72        19.33  14.68        20.72   1.558   0.080   0.049   0.244  99.99  99.99       99.99  99.99       99.99
01 24 40.9  +08 36 33   80  A193      C  E/S0  18.20  99.99   4.84        19.43  14.22        20.99  99.999   0.065   0.048   0.240   0.53   2.34       19.71   8.02       21.68
01 24 38.7  +08 30 35   81  A193      D  E/S0  22.53   0.12   5.39        19.30  13.85        20.60   1.491   0.080   0.051   0.253   0.15   5.13       20.74   3.87       20.81
01 24 34.8  +08 34 35   82  A193      E  S     15.57   0.10   3.40        19.15  14.70        20.50  99.999   0.065   0.015   0.189   0.46   2.16       19.97   3.84       20.67
01 24 43.6  +08 46 35   83  A193      1  S      8.29   0.16   8.06        21.17  14.85        21.97  99.999   0.065   0.015   0.189   9.17   1.74       21.75   5.19       20.33
01 37 15.5  -09 11 51   84  J32       A  E/S0  27.45  99.99  18.84        20.99  12.79        22.41  99.999   0.053   0.041   0.206   0.04  20.07       22.56   3.42       20.90
01 37 23.5  -09 10 08   85  J32       B  E/S0  24.33   0.04   7.30        19.65  13.52        21.13   1.461   0.065   0.039   0.194   0.38   4.38       20.29  11.61       22.05
01 37 07.0  -09 08 58   86  J32       C  S     13.12  99.99   5.52        20.23  14.82        21.60  99.999   0.053   0.022   0.273   1.07   1.90       20.10   5.95       21.11
01 37 23.2  -09 16 14   87  J32       D  E/S0  19.94  99.99   9.63        20.44  13.71        21.89  99.999   0.053   0.041   0.204   0.44   5.64       21.07  13.28       22.43
01 38 00.0  -09 00 26   88  J32       E  E/S0  18.72  99.99   3.47        18.79  14.27        20.28  99.999   0.065   0.041   0.206   0.25   2.42       19.64   6.73       21.99
01 37 50.3  -08 58 50   89  J32       F  S     12.47  99.99   5.53        20.36  14.82        21.17  99.999   0.065   0.013   0.159   6.43   2.17       21.90   3.55       19.55
01 37 25.4  -08 55 53   90  J32       G  SB    11.59  99.99   5.03        20.28  14.96        21.60  99.999   0.056   0.014   0.174   1.01   1.98       20.41   5.18       21.10
01 39 24.8  -09 24 03   91  J32       H  S     15.08  99.99   8.64        20.65  14.15        21.48  99.999   0.049   0.013   0.160   7.06   2.04       21.18   5.68       19.88
01 38 22.4  -08 58 32   92  J32       1  S      9.42  99.99   4.83        20.52  15.28        21.22  99.999   0.049   0.014   0.165  99.99  99.99       99.99  99.99       99.99
01 37 23.4  -09 05 59   93  J32       2  E/S0  17.24  99.99   4.30        19.36  14.38        20.77  99.999   0.065   0.041   0.204   0.53   2.38       19.93   5.41       21.02
01 37 15.7  -09 01 33   94  J32       3  S     12.46  99.99   3.67        19.67  15.02        20.98  99.999   0.056   0.013   0.155   0.52   2.27       20.47   3.89       20.96
01 36 27.7  -09 28 44   95  J32       4  E/S0  14.24  99.99   4.15        19.78  14.87        20.62  99.999   0.056   0.041   0.207   4.35   2.03       21.44   2.69       19.06
01 50 43.0  +33 04 55   96  A260      A  cD    36.79   0.52  12.52        19.90  12.58        21.20   1.565   0.097   0.036   0.177   0.68   6.79       20.53  12.96       20.97
01 50 51.7  +33 05 32   97  A260      B  SB    22.13  99.99   8.55        20.12  13.62        21.31  99.999   0.097   0.012   0.148   1.64   2.59       19.98   7.57       20.38
01 51 23.8  +33 01 51   98  A260      C  SB0   29.33   0.25  12.54        20.26  12.93        21.53   1.558   0.092   0.034   0.172   1.08   5.00       20.46  12.27       20.93
01 51 21.3  +33 11 11   99  A260      D  E/S0  16.44  99.99   7.67        20.40  14.13        21.62  99.999   0.092   0.039   0.196   1.17   3.09       20.66   7.14       20.91
01 49 13.1  +33 05 44  100  A260      E  E/S0  24.54   0.47  10.75        20.28  13.29        21.78   1.519   0.082   0.039   0.197   0.68   4.62       20.41  14.78       21.95
01 50 15.7  +33 29 43  101  A260      F  S     24.93   0.27  12.35        20.49  13.19        21.80   1.551   0.082   0.011   0.138   0.67   6.65       21.10  12.98       21.58
01 51 45.6  +33 32 14  102  A260      G  E/S0  24.27   0.32  10.16        20.22  13.34        21.60   1.573   0.068   0.035   0.176   0.38   6.76       21.08  12.19       22.01
01 52 25.1  +33 30 27  103  A260      H  SB0   20.70  99.99   5.50        19.45  13.91        20.85  99.999   0.068   0.039   0.193  99.99  99.99       99.99  99.99       99.99
01 50 32.0  +33 02 50  104  A260      1  S     19.83   0.26   4.06        19.12  14.24        20.13  99.999   0.097   0.012   0.142   1.04   3.36       20.88   2.67       18.94
01 52 39.7  +36 10 16  105  A262      A  cD    47.54  99.99  33.03        21.00  11.48        22.39   1.504   0.145   0.016   0.081  99.99  99.99       99.99  99.99       99.99
01 50 51.3  +36 16 31  106  A262      B  E     90.24  99.99  23.88        19.44  10.63        20.84   1.351   0.125   0.017   0.087  99.99  99.99       99.99  99.99       99.99
01 50 33.3  +36 22 13  107  A262      C  E/S0  57.06  99.99  12.79        19.19  11.74        20.51   1.546   0.125   0.017   0.085   0.26  10.28       20.37  12.56       20.85
01 49 43.8  +35 47 07  108  A262      D  E     56.22  99.99  10.37        18.80  11.79        20.19   1.591   0.111   0.017   0.084  99.99  99.99       99.99  99.99       99.99
01 55 10.3  +35 16 52  109  A262      E  E     61.14   2.16  30.01        20.47  11.16        21.86  99.999   0.123   0.018   0.089  99.99  99.99       99.99  99.99       99.99
01 53 08.6  +36 49 10  110  A262      F  E/S0  49.14  99.99  10.31        19.18  12.19        20.16   1.660   0.121   0.018   0.089   1.36   7.70       20.87   6.90       18.91
01 57 50.5  +36 20 35  111  A262      G  E/S0  52.72   0.47  16.24        19.72  11.74        21.08  99.999   0.123   0.015   0.078   0.10  14.87       21.02  16.88       22.43
01 58 54.9  +36 40 28  112  A262      H  SB0   38.22  99.99  10.65        19.67  12.61        20.64  99.999   0.121   0.016   0.080   2.19   4.85       20.62   7.70       19.38
01 52 39.7  +36 10 16  113  A262      I  E/S0  35.60  99.99   9.41        19.45  12.65        20.78   1.589   0.145   0.019   0.093   0.12  10.62       21.23   3.29       19.59
01 54 54.0  +36 55 04  114  A262      1  S     33.28   0.56   6.40        18.95  12.99        20.31  99.999   0.113   0.006   0.072   1.01   2.33       18.91   6.96       19.88
02 25 38.2  +36 57 53  115  J7        A  E/S0  32.73  99.99  15.87        20.45  12.61        21.80   1.519   0.142   0.036   0.180   0.12  18.36       22.29   4.98       20.34
02 25 27.3  +37 10 28  116  J7        B  E/S0  30.96   1.46   5.39        18.82  13.32        19.98  99.999   0.116   0.033   0.167   1.32   2.24       19.23   4.66       19.12
02 23 56.1  +37 03 45  117  J7        C  E     25.57   0.77   6.34        19.33  13.48        20.73   1.454   0.118   0.036   0.178  99.99  99.99       99.99  99.99       99.99
02 26 27.7  +37 02 24  118  J7        D  E     17.49  99.99   5.09        19.61  14.23        21.00   1.491   0.142   0.035   0.176  99.99  99.99       99.99  99.99       99.99
02 26 14.7  +37 17 30  119  J7        E  SB0   21.99  99.99   5.14        19.23  13.83        20.68   1.496   0.116   0.036   0.180   0.35   3.32       20.00   7.47       21.51
02 26 12.3  +37 13 18  120  J7        F  E/S0  16.94   0.51   3.51        18.97  14.40        20.51  99.999   0.142   0.039   0.193   0.27   2.32       19.72   8.56       22.60
02 26 09.9  +36 47 05  121  J7        G  S     22.84  99.99   1.55        16.84  14.05        18.24  99.999   0.109   0.011   0.139  99.99  99.99       99.99  99.99       99.99
02 30 16.5  +23 09 12  122  J8        A  E/S0  29.63   0.29   6.33        19.11  13.24        20.44   1.558   0.185   0.028   0.142   0.34   4.63       20.15   6.67       20.71
02 29 54.5  +23 05 49  124  J8        C  E/S0  28.56  99.99  16.07        20.67  12.77        21.80  99.999   0.185   0.032   0.157   1.17   7.98       21.38  13.43       20.95
02 29 50.0  +23 06 30  125  J8        D  E     21.44  99.99  29.36        21.94  12.74        23.33  99.999   0.169   0.032   0.158  99.99  99.99       99.99  99.99       99.99
02 29 14.0  +23 04 58  126  J8        E  SB0   41.02  99.99  16.26        20.11  12.19        21.67  99.999   0.169   0.032   0.160   0.12  20.39       22.12   1.12       16.70
02 29 34.9  +22 56 36  127  J8        F  E/S0  23.09   0.45  16.17        21.03  13.13        22.52   1.636   0.185   0.034   0.170   0.47   8.83       21.53  24.22       23.15
02 30 31.0  +22 56 59  128  J8        G  E/S0  25.42   0.23   4.97        19.01  13.67        20.20   1.574   0.185   0.030   0.151   0.81   2.91       19.88   4.35       19.60
02 28 39.9  +23 00 43  129  J8        H  E/S0  17.90  99.99   3.82        19.08  14.31        20.55  99.999   0.169   0.030   0.151   0.60   1.86       19.42   5.16       20.81
02 29 14.0  +22 57 58  130  J8        I  SB0   19.53   0.28   7.14        20.02  13.89        21.31   1.695   0.169   0.031   0.154   1.47   1.93       19.55   6.96       20.53
02 27 33.1  +23 03 36  132  J8        K  E/S0  20.76   0.14   7.32        19.94  13.76        21.34   1.589   0.197   0.033   0.163   0.45   4.42       20.64   9.24       21.72
02 29 14.4  +22 50 22  134  J8        1  S      6.77   0.34  11.18        21.97  14.87        23.17  99.999   0.169   0.010   0.122   0.30  13.10       23.99   5.07       21.85
02 46 04.1  +36 54 18  135  A376      A  cD    24.42  99.99  12.37        20.52  13.26        21.70  99.999   0.123   0.049   0.243   1.25   5.14       20.89  10.99       20.90
02 45 48.3  +36 51 14  136  A376      B  E/S0  17.39  99.99   4.18        19.33  14.43        20.68  99.999   0.123   0.045   0.227   0.88   1.76       19.53   4.55       20.34
02 45 43.8  +36 51 17  137  A376      C  E/S0  16.58   0.09   2.52        18.46  14.66        19.90   1.483   0.123   0.047   0.236   0.32   1.68       19.27   3.80       20.90
02 46 50.2  +36 58 44  138  A376      D  E/S0  18.61  99.99   5.89        19.78  14.14        21.13  99.999   0.159   0.049   0.247   0.92   2.40       19.94   6.34       20.74
02 45 13.7  +36 41 42  139  A376      E  E     17.00  99.99   5.63        19.83  14.28        21.22  99.999   0.123   0.050   0.250  99.99  99.99       99.99  99.99       99.99
02 45 12.3  +36 42 42  140  A376      F  E/S0  14.45  99.99   3.30        19.31  14.92        20.43  99.999   0.123   0.047   0.233   1.32   1.50       19.90   2.74       19.52
02 45 04.0  +36 42 37  141  A376      G  E     18.24  99.99   6.86        20.04  14.07        21.44  99.999   0.123   0.049   0.247  99.99  99.99       99.99  99.99       99.99
02 49 45.6  +46 58 35  142  J9        A  cD    65.80  99.99  21.22        19.80  11.29        21.18  99.999   0.526   0.026   0.129   0.43  13.42       20.58  25.61       21.52
02 49 40.4  +46 57 15  143  J9        B  E/S0  26.43  99.99   8.00        19.61  13.21        21.32  99.999   0.526   0.029   0.146   0.35   4.33       20.00  34.61       24.24
02 51 01.0  +46 57 16  144  J9        C  E/S0  51.47  99.99  14.81        19.62  11.88        20.98  99.999   0.517   0.029   0.145   0.53   8.49       20.26  17.25       21.09
02 50 12.9  +47 10 51  145  J9        D  E/S0  29.77   0.65  12.23        20.22  12.90        21.31  99.999   0.526   0.030   0.149   0.58  16.46       22.75   5.62       19.62
02 52 17.0  +46 54 47  146  J9        E  E/S0  28.24   0.48   6.24        19.23  13.37        20.43   1.437   0.519   0.027   0.137   0.96   3.13       19.85   5.63       19.78
02 48 59.9  +47 06 12  147  J9        F  E/S0  21.71  99.99   3.23        18.43  14.01        19.88  99.999   0.526   0.026   0.132   0.43   1.90       19.06   4.58       20.50
02 48 10.9  +47 01 36  148  J9        G  S     19.09  99.99   6.01        19.86  14.09        20.83  99.999   0.608   0.009   0.107   2.57   2.22       20.47   4.40       19.54
02 55 44.3  -14 12 30  149  J33       A  cD    50.88  99.99  21.45        20.26  11.74        21.35  99.999   0.037   0.029   0.146   1.57   9.09       20.82  17.26       20.33
02 55 48.4  -14 15 14  150  J33       B  E/S0  15.90  99.99   6.23        20.13  14.29        21.40  99.999   0.032   0.032   0.163   0.15   6.13       21.63   3.92       21.35
02 56 33.0  +15 54 37  151  A397      A  E/S0  22.54   0.15   9.59        20.24  13.47        21.66   1.610   0.159   0.034   0.171   0.10  11.17       22.07   2.27       19.72
02 56 28.8  +15 54 57  152  A397      B  cD    32.89   0.09  14.00        20.25  12.66        21.61  99.999   0.159   0.035   0.173   0.85   5.95       20.45  15.45       21.31
02 56 28.0  +16 00 29  153  A397      C  E/S0  23.42   0.19   7.56        19.81  13.56        21.07   1.513   0.248   0.030   0.150   0.16   8.12       21.52   3.61       20.33
02 57 04.7  +15 58 59  154  A397      D  E/S0  20.57   0.41   9.34        20.35  13.64        21.74   1.531   0.248   0.031   0.156   0.82   3.95       20.52  10.74       21.52
02 56 32.6  +16 00 15  155  A397      E  E/S0  16.60   0.13   6.35        20.09  14.21        21.37   1.473   0.248   0.033   0.167   0.12   6.47       21.64   3.48       21.19
02 57 23.7  +16 05 42  156  A397      F  E/S0  19.08   0.16   6.66        19.95  13.98        21.20  99.999   0.248   0.031   0.157   0.53   4.47       20.94   6.22       20.96
02 57 37.6  +16 04 04  157  A397      G  E/S0  27.43   0.06  11.28        20.19  13.07        21.57   1.555   0.248   0.032   0.158   0.68   5.56       20.61  13.10       21.51
02 57 57.6  +16 06 19  158  A397      H  E/S0  18.73   0.24   6.41        19.92  14.12        21.19   1.511   0.245   0.056   0.281   0.63   3.75       20.67   6.41       20.94
02 57 08.1  +15 58 47  159  A397      I  S     15.97   0.59   5.05        19.78  14.41        21.06  99.999   0.248   0.010   0.124   0.21   4.58       21.17   3.89       21.13
02 57 33.7  +05 58 37  160  A400      A  E/S0  29.10   0.68   5.13        18.68  13.24        20.14   1.643   0.190   0.023   0.114   0.15   6.55       20.76   1.13       17.61
02 55 20.0  +06 07 29  161  A400      B  S     16.22  99.99   7.74        20.45  14.11        21.14  99.999   0.164   0.008   0.094  99.99  99.99       99.99  99.99       99.99
02 55 15.0  +06 10 39  162  A400      C  E/S0  22.82   0.64   6.58        19.60  13.61        21.01   1.788   0.171   0.025   0.126   0.31   4.52       20.48   9.04       21.84
02 58 14.2  +05 58 19  163  A400      D  SB0   21.11   0.30   4.68        19.19  13.95        20.37   1.674   0.190   0.023   0.113   0.31   4.63       20.86   2.84       19.66
02 58 21.0  +06 05 43  164  A400      E  E/S0  27.59   0.52  10.55        20.06  13.05        21.58   1.633   0.190   0.023   0.113   0.10  12.74       21.97   1.00       17.51
02 58 37.8  +06 10 34  165  A400      F  E/S0  17.83   0.09   8.75        20.48  13.88        21.54  99.999   0.190   0.025   0.123   1.47   4.28       21.30   6.83       20.50
02 58 54.2  +06 07 00  166  A400      G  SB0   17.70   0.19   4.43        19.46  14.33        20.59   1.516   0.190   0.024   0.121   1.18   2.19       20.17   3.70       19.73
